"bURIs","topics","wiki2"
"<http://data.bibliotheken.nl/id/thes/p075598272>","aandelen","http://www.wikidata.org/entity/Q223371"
"<http://data.bibliotheken.nl/id/thes/p075598280>","aardbevingen","http://www.wikidata.org/entity/Q19830062"
"<http://data.bibliotheken.nl/id/thes/p075598299>","aarde","http://www.wikidata.org/entity/Q2"
"<http://data.bibliotheken.nl/id/thes/p075598302>","aardewerk","http://www.wikidata.org/entity/Q1377111"
"<http://data.bibliotheken.nl/id/thes/p075598310>","aardewerkindustrie","http://www.wikidata.org/entity/Q55425396"
"<http://data.bibliotheken.nl/id/thes/p075598329>","aardgas","http://www.wikidata.org/entity/Q40858"
"<http://data.bibliotheken.nl/id/thes/p075598337>","aardgasindustrie",NA
"<http://data.bibliotheken.nl/id/thes/p075598345>","aardgasverwarming",NA
"<http://data.bibliotheken.nl/id/thes/p075598353>","aardgaswinning","http://www.wikidata.org/entity/Q15943145"
"<http://data.bibliotheken.nl/id/thes/p075599252>","antipsychiatrie","http://www.wikidata.org/entity/Q582667"
"<http://data.bibliotheken.nl/id/thes/p075598361>","aardkorst","http://www.wikidata.org/entity/Q15316"
"<http://data.bibliotheken.nl/id/thes/p07559837X>","aardolie","http://www.wikidata.org/entity/Q22656"
"<http://data.bibliotheken.nl/id/thes/p075599260>","antisemitisme","http://www.wikidata.org/entity/Q22649"
"<http://data.bibliotheken.nl/id/thes/p075598388>","aardolie-industrie",NA
"<http://data.bibliotheken.nl/id/thes/p075599287>","antropobiologie","http://www.wikidata.org/entity/Q8201923"
"<http://data.bibliotheken.nl/id/thes/p075600919>","bestrijdingsmiddelen","http://www.wikidata.org/entity/Q131656"
"<http://data.bibliotheken.nl/id/thes/p075598396>","aardoliewinning","http://www.wikidata.org/entity/Q1349660"
"<http://data.bibliotheken.nl/id/thes/p075599295>","antroposofie","http://www.wikidata.org/entity/Q184719"
"<http://data.bibliotheken.nl/id/thes/p075599309>","antroposofische geneeskunde","http://www.wikidata.org/entity/Q574514"
"<http://data.bibliotheken.nl/id/thes/p07559840X>","abortus provocatus",NA
"<http://data.bibliotheken.nl/id/thes/p075599317>","antroposofisch onderwijs","http://www.wikidata.org/entity/Q57615000"
"<http://data.bibliotheken.nl/id/thes/p075600927>","bestuurswetenschap",NA
"<http://data.bibliotheken.nl/id/thes/p075598418>","abstracte kunst","http://www.wikidata.org/entity/Q128115"
"<http://data.bibliotheken.nl/id/thes/p075600935>","betalingsverkeer","http://www.wikidata.org/entity/Q2051699"
"<http://data.bibliotheken.nl/id/thes/p075599325>","apartheid","http://www.wikidata.org/entity/Q11409"
"<http://data.bibliotheken.nl/id/thes/p075598426>","abstracte schilderkunst",NA
"<http://data.bibliotheken.nl/id/thes/p075599333>","apocalyps","http://www.wikidata.org/entity/Q696203"
"<http://data.bibliotheken.nl/id/thes/p075599341>","apocriefen","http://www.wikidata.org/entity/Q6718887"
"<http://data.bibliotheken.nl/id/thes/p075600943>","beton","http://www.wikidata.org/entity/Q22657"
"<http://data.bibliotheken.nl/id/thes/p075598442>","accordeons","http://www.wikidata.org/entity/Q18929471"
"<http://data.bibliotheken.nl/id/thes/p075600951>","betonconstructies",NA
"<http://data.bibliotheken.nl/id/thes/p07559935X>","apologetiek","http://www.wikidata.org/entity/Q191776"
"<http://data.bibliotheken.nl/id/thes/p075598450>","accountancy","http://www.wikidata.org/entity/Q1051798"
"<http://data.bibliotheken.nl/id/thes/p075599368>","apostelen","http://www.wikidata.org/entity/Q43412"
"<http://data.bibliotheken.nl/id/thes/p075599376>","apotheken","http://www.wikidata.org/entity/Q20170661"
