Ppn	Brinkey_gold	Identifier	Brinkey_uni
410603783	['ondernemingsrecht']	eur-oai-repub.eur.nl-100016	['ondernemingsrecht', 'ondernemingsbestuur']
294237941	['incontinentie']	uu-oai-dspace.library.uu.nl-1874_9365	[]
30478138X	['maan']	uu-oai-dspace.library.uu.nl-1874_22975	[]
29051682X	['melkwegstelsels']	ul-oai-openaccess.leidenuniv.nl-1887_3740	['astronomie']
398751854	['eierstokkanker']	rug-oai-pure.rug.nl-publications_cf13f0bf-656a-4581-b6e5-9c7f85023a11	[]
337229902	['nierdialyse']	uu-oai-dspace.library.uu.nl-1874_179067	[]
411228560	['hartchirurgie']	rug-oai-pure.rug.nl-publications_e773e0a5-d785-45bf-882b-81cd9203b191	[]
262482479	['plantenfysiologie']	uu-oai-dspace.library.uu.nl-1874_247	[]
418981485	['automatisch vertalen']	rug-oai-pure.rug.nl-publications_0da66ea3-e6e9-4925-95b2-a5ae8211d78b	[]
397905424	['melkwegstelsels']	rug-oai-pure.rug.nl-publications_645e4ee6-54f4-4e2f-b05d-51ea7cc490c6	[]
282996133	['kennismanagement']	tud-oai-tudelft.nl-uuid-4b40de96-670a-4d45-bda9-554a9c8fa2e4	[]
413969282	['hydraulische techniek']	tud-oai-tudelft.nl-uuid-8615fc47-4c17-4f41-8456-4b042bdf526d	[]
392709945	['jeugdgezondheidszorg']	rug-oai-pure.rug.nl-publications_1fde8c46-3c3f-4d36-a60f-ac93e62f64bd	[]
413390187	['copd']	rug-oai-pure.rug.nl-publications_228e3431-e255-484d-96db-1b8b5f89b6f5	[]
296018155	['bloedvatenstelsel']	eur-oai-repub.eur.nl-20833	['cardiologie']
291257283	['gerechtelijke geneeskunde']	ul-oai-openaccess.leidenuniv.nl-1887_4292	['individualisering']
238687287	['lever(ziekten)']	rug-oai-pure.rug.nl-publications_07799103-f3aa-4ffb-bb3d-0becc443140c	['genen']
412864290	['organische chemie']	rug-oai-pure.rug.nl-publications_9196e19c-b133-40bc-bf1e-a7fdd3e44ab2	[]
215868196	['virtual reality']	tud-oai-tudelft.nl-uuid-fbdc5fd5-ca6d-483c-83ec-65aabb40398e	[]
235210277	['bodemkunde']	wur-oai-library.wur.nl-wurpubs_110996	['mozambique']
