brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
aardewerk	075598302	075598302	1
bestrijdingsmiddelen	075600919	075600919	1
antroposofie	075599295	075599295	1
euritmie	075605619	075599295,075605619	2
bestuurswetenschap	075600927	075600927	1
betalingsverkeer	075600935	075600935	1
geldverkeer	075606992	075600935,075606992	2
giraal betalingsverkeer	075607832	075600935,075607832	2
chipkaarten	185277225	075600935,185277225	2
apocalyps	075599333	075599333	1
accountancy	075598450	075598450	1
controleleer	075603438	075598450,075603438	2
jaarrekening	075660105	075598450,075660105	2
accountancy ; automatisering	075656558	075598450,075656558	2
bevolkingsregisters	075601001	075601001	1
aquaria	075599414	075599414	1
arbeiderszelfbestuur	075599465	075599465	1
bewapening	075601044	075601044	1
ruimtebewapening	075666839	075601044,075666839	2
kernbewapening	075611627	075601044,075611627	2
bewustzijnsverruiming	075601079	075601079	1
arbeidsinspectie	075599538	075599538	1
bibliografieën	075601133	075601133	1
nationale bibliografieën	075616203	075601133,075616203	2
ademhaling	075598523	075598523	1
bibliotheekbeheer	07560115X	07560115X	1
bibliotheekinrichting	075601168	075601168	1
ademhalingsorganen	07559854X	07559854X	1
bibliotheekwetenschap	075601184	075601184	1
catalogustechniek	075602628	075601184,075602628	2
titelbeschrijven	075624249	075601184,075624249	2
information retrieval	242836615	075601184,242836615	2
zoekmachines	291926940	075601184,242836615,291926940	3
bibliotheekwezen	075601206	075601206	1
interbibliothecair leenverkeer	075688875	075601206,075688875	2
bidprentjes	075601214	075601214	1
archeologie	075599635	075599635	1
Bijbelse archeologie	075602407	075599635,075602407	2
opgravingen	075617560	075599635,075617560	2
onderwaterarcheologie	07561698X	075599635,07561698X	2
stadsarcheologie	075664011	075599635,075664011	2
archeologie ; Nederland	075657031	075599635,075657031	2
archiefwetenschap	075599643	075599643	1
archieven	075599651	075599651	1
bedrijfsarchieven	075600358	075599651,075600358	2
architecten	07559966X	07559966X	1
adresboeken	075598612	075598612	1
biografie	075601311	075601311	1
autobiografie	075635011	075601311,075635011	2
hagiografie	234674717	075601311,234674717	2
artotheken	075599716	075599716	1
adverteren	075598647	075598647	1
biologie	075601346	075601346	1
antropobiologie	075599287	075601346,075599287	2
menskunde	075614960	075601346,075599287,075614960	3
beendergestel	075657341	075601346,075599287,075614960,075657341	4
bekken (anatomie)	243144229	075601346,075599287,075614960,075657341,243144229	5
kinesiologie	075680505	075601346,075599287,075680505	3
motoriek	075615835	075601346,075599287,075680505,075615835	4
linkshandigheid	395257972	075601346,075599287,075680505,075615835,395257972	5
astrobiologie	075599759	075601346,075599759	2
bloembiologie	075601494	075601346,075601494	2
dierkunde	075604140	075601346,075604140	2
beendergestel	075657341	075601346,075604140,075657341	3
bekken (anatomie)	243144229	075601346,075604140,075657341,243144229	4
vogelkunde	084826533	075601346,075604140,084826533	3
dierengenetica	246139242	075601346,075604140,246139242	3
jeugdboeken ; informatie - biologie	07560681X	075601346,07560681X	2
embryologie	075605236	075601346,075605236	2
ethologie	075605538	075601346,075605538	2
diergedrag	075651572	075601346,075605538,075651572	3
geobiologie	075607298	075601346,075607298	2
laboratoriumtechnieken	075612917	075601346,075612917	2
hydrobiologie	075609754	075601346,075609754	2
limnologie	162706189	075601346,075609754,162706189	3
menskunde	075614960	075601346,075614960	2
beendergestel	075657341	075601346,075614960,075657341	3
bekken (anatomie)	243144229	075601346,075614960,075657341,243144229	4
microbiologie	075615193	075601346,075615193	2
probiotica	333008200	075601346,075615193,333008200	3
sociobiologie	07562074X	075601346,07562074X	2
theoretische biologie	07562415X	075601346,07562415X	2
morfologie (biologie)	075661454	075601346,075661454	2
anatomie	075599082	075601346,075661454,075599082	3
dierenanatomie	07560406X	075601346,075661454,075599082,07560406X	4
pathologische anatomie	075662787	075601346,075661454,075599082,075662787	4
hersenanatomie	075609029	075601346,075661454,075599082,075609029	4
plantenanatomie	075618737	075601346,075661454,075599082,075618737	4
neuro-anatomie	075661691	075601346,075661454,075599082,075661691	4
biotechnologie	075654016	075601346,075654016	2
gentechnologie	217578365	075601346,075654016,217578365	3
klonen	07561216X	075601346,075654016,217578365,07561216X	4
synthetische biologie	39092833X	075601346,075654016,39092833X	3
biogeografie	075657643	075601346,075657643	2
