itemNumber	string	score	depth	hierarchy_1	hierarchy_2	hierarchy_3	hierarchy_4	hierarchy_5
75663147	proteïnen	210	1	proteïnen				
75658046	celbiologie	169	2	biologie	celbiologie			
75608774	hart- en vaatziekten	153	2	ziekteleer	hart- en vaatziekten			
75652196	moleculaire biologie	118	3	chemie	biochemie	moleculaire biologie		
75652021	immunologie	102	1	immunologie				
75658895	enzymen	102	2	proteïnen	enzymen			
15438125x	katalyse	93	2	chemie	katalyse			
75660180	kankerbehandeling	89	2	geneeskunde	kankerbehandeling			
75657163	bacteriën	89	1	bacteriën				
07560129x	biochemie	73	2	chemie	biochemie			
07566450x	tumoren	73	2	ziekteleer	tumoren			
75605902	farmacologie	70	3	chemie	toegepaste chemie	farmacologie		
75610086	infectieziekten	67	2	ziekteleer	infectieziekten			
75658003	cardiologie	65	3	geneeskunde	interne geneeskunde	cardiologie		
75658909	genen	65	1	genen				
75615193	microbiologie	64	2	biologie	microbiologie			
75684659	computersimulatie	64	2	computertoepassingen	computersimulatie			
75664062	stofwisseling	61	1	stofwisseling				
07561474x	materialenkennis	60	1	materialenkennis				
75604248	dna	60	3	chemie	biochemie	dna		
75611791	kindergeneeskunde	55	2	geneeskunde	kindergeneeskunde			
07561653x	nier(ziekten)	54	1	nier(ziekten)				
75618761	plantenfysiologie	52	2	fysiologie	plantenfysiologie			
75640945	voedingsmiddelentechnologie	52	2	technologie	voedingsmiddelentechnologie			
07560938x	hormonen	52	1	hormonen				
18993588x	biomaterialen	51	3	techniek	biomedische techniek	biomaterialen		
75613832	lever(ziekten)	50	3	ziekteleer	klierziekten	lever(ziekten)		
75663589	schimmels	50	3	planten	sporeplanten	schimmels		
194206963	nanotechnologie	50	2	technologie	nanotechnologie			
75616513	neurologie	49	2	geneeskunde	neurologie			
153901284	erfelijkheidsleer	49	2	biologie	erfelijkheidsleer			
242597815	polymeren	48	1	polymeren				
75677350	diagnostiek	48	2	geneeskunde	diagnostiek			
75654016	biotechnologie	47	2	technologie	biotechnologie			
75648598	gastro-enterologie	46	2	geneeskunde	gastro-enterologie			
75600099	bacteriologie	45	1	bacteriologie				
75663864	spectroscopie	44	2	natuurkunde	spectroscopie			
07560289x	chirurgie	44	2	geneeskunde	chirurgie			
75618788	plantenziekten	44	1	plantenziekten				
75664909	virussen	44	2	virologie	virussen			
75617668	organische chemie	43	2	chemie	organische chemie			
75661705	neurofysiologie	43	2	fysiologie	neurofysiologie			
75599740	astma	41	4	ziekteleer	ademhalingsstoornissen	cara	astma	
75623412	diabetes	41	3	ziekteleer	stofwisselingsziekten	diabetes		
246139412	plantengenetica	41	3	biologie	erfelijkheidsleer	plantengenetica		
75620030	radiotherapie	40	2	therapieën	radiotherapie			
75614936	melkwegstelsels	39	2	astronomie	melkwegstelsels			
267797737	copd	39	3	ziekteleer	ademhalingsstoornissen	copd		
75598876	algoritmen	38	2	wiskunde	algoritmen			
75685752	ecosystemen	37	1	ecosystemen				
75660938	logistiek	37	1	logistiek				
75605384	epidemiologie	37	2	gezondheidszorg	epidemiologie			
75658488	darmkanker	36	3	ziekteleer	kanker	darmkanker		
267179693	hartfalen	36	3	ziekteleer	hart- en vaatziekten	hartfalen		
102367418	magnetische resonantie	36	5	geneeskunde	diagnostiek	radiodiagnostiek	tomografie	magnetische resonantie
75601486	bloedvatenstelsel	35	4	geneeskunde	interne geneeskunde	cardiologie	bloedvatenstelsel	
96947381	patroonherkenning	35	2	computertoepassingen	patroonherkenning			
07567761x	moleculaire natuurkunde	35	2	natuurkunde	moleculaire natuurkunde			
126297290	differentiaalvergelijkingen	34	2	wiskunde	differentiaalvergelijkingen			
75659670	halfgeleiders	34	2	natuurkunde	halfgeleiders			
75662981	polymerisatie	34	2	chemie	polymerisatie			
189868236	membranen	34	3	technologie	chemische technologie	membranen		
75611198	kanker	34	2	ziekteleer	kanker			
75614545	management	34	1	management				
75657708	bloed	34	2	hematologie	bloed			
75664119	stromingsleer	33	3	natuurkunde	mechanica	stromingsleer		
75613786	leukemie	33	3	hematologie	bloedziekten	leukemie		
75617757	orthopedie	33	1	orthopedie				
75651386	neonatologie	33	3	geneeskunde	kindergeneeskunde	neonatologie		
97310328	sedimentologie	33	3	natuurwetenschappen	geologie	sedimentologie		
75602792	chemische technologie	32	2	technologie	chemische technologie			
75607220	geneesmiddelen	32	2	farmacie	geneesmiddelen			
75626985	waterzuivering	31	1	waterzuivering				
75688395	waterbeheer	31	3	techniek	cultuurtechniek	waterbeheer		
75661209	geneesmiddelen ; bijwerkingen	31	3	farmacie	geneesmiddelen	geneesmiddelen ; bijwerkingen		
