itemNumber	string	score	depth
75663147	proteïnen	210	1
75658046	celbiologie	169	2
75608774	hart- en vaatziekten	153	2
75652196	moleculaire biologie	118	3
75652021	immunologie	102	1
75658895	enzymen	102	2
15438125x	katalyse	93	2
75660180	kankerbehandeling	89	2
75657163	bacteriën	89	1
07560129x	biochemie	73	2
07566450x	tumoren	73	2
75605902	farmacologie	70	3
75610086	infectieziekten	67	2
75658003	cardiologie	65	3
75658909	genen	65	1
75615193	microbiologie	64	2
75684659	computersimulatie	64	2
75664062	stofwisseling	61	1
07561474x	materialenkennis	60	1
75604248	dna	60	3
75611791	kindergeneeskunde	55	2
07561653x	nier(ziekten)	54	1
75618761	plantenfysiologie	52	2
75640945	voedingsmiddelentechnologie	52	2
07560938x	hormonen	52	1
18993588x	biomaterialen	51	3
75613832	lever(ziekten)	50	3
75663589	schimmels	50	3
194206963	nanotechnologie	50	2
75616513	neurologie	49	2
153901284	erfelijkheidsleer	49	2
242597815	polymeren	48	1
75677350	diagnostiek	48	2
75654016	biotechnologie	47	2
75648598	gastro-enterologie	46	2
75600099	bacteriologie	45	1
75663864	spectroscopie	44	2
07560289x	chirurgie	44	2
75618788	plantenziekten	44	1
75664909	virussen	44	2
75617668	organische chemie	43	2
75661705	neurofysiologie	43	2
75599740	astma	41	4
75623412	diabetes	41	3
246139412	plantengenetica	41	3
75620030	radiotherapie	40	2
75614936	melkwegstelsels	39	2
267797737	copd	39	3
75598876	algoritmen	38	2
75685752	ecosystemen	37	1
75660938	logistiek	37	1
75605384	epidemiologie	37	2
75658488	darmkanker	36	3
267179693	hartfalen	36	3
102367418	magnetische resonantie	36	5
75601486	bloedvatenstelsel	35	4
96947381	patroonherkenning	35	2
07567761x	moleculaire natuurkunde	35	2
126297290	differentiaalvergelijkingen	34	2
75659670	halfgeleiders	34	2
75662981	polymerisatie	34	2
189868236	membranen	34	3
75611198	kanker	34	2
75614545	management	34	1
75657708	bloed	34	2
75664119	stromingsleer	33	3
75613786	leukemie	33	3
75617757	orthopedie	33	1
75651386	neonatologie	33	3
97310328	sedimentologie	33	3
75602792	chemische technologie	32	2
75607220	geneesmiddelen	32	2
75626985	waterzuivering	31	1
75688395	waterbeheer	31	3
75661209	geneesmiddelen ; bijwerkingen	31	3
75657775	borstkanker	31	3
182795667	farmacotherapie	31	2
75637162	endocrinologie	30	1
75676257	plantenveredeling	30	6
75626748	waarschijnlijkheidsrekening	30	2
75599201	antibiotica	30	3
75625210	vaste stoffen ; mechanica	30	3
75663201	kwantummechanica	29	2
153872802	elementaire-deeltjesfysica	29	2
94669805	productontwikkeling	29	2
75609789	hydrologie	29	3
75688255	ouderen ; gezondheidszorg	29	2
75628732	zwangerschap	29	1
75601419	urologie	28	2
75648539	chemotherapie	28	2
75603691	darmziekten	28	2
202821048	biodiversiteit	28	2
75609045	hersenaandoeningen	28	2
75656698	landbouweconomie	28	2
75624486	transplantatie	28	2
75599775	astrofysica	27	2
75685310	cognitieve psychologie	27	3
75610477	irrigatie	27	2
75668033	vaccinatie	27	3
75664666	veevoeding	27	2
75675382	milieutechniek	27	2
75663384	remote sensing	27	1
277957672	genexpressie	27	3
75614146	longziekten	26	2
102366659	tomografie	26	4
75623269	stress	26	1
75652498	biomedische techniek	26	2
75661861	numerieke wiskunde	26	2
75617544	operations research	25	3
75659883	hydrodynamica	25	3
216028701	hematologie	25	1
75606615	fysische chemie	25	2
75660687	landbouwgronden	25	1
126610908	geografische informatiesystemen	24	2
75664402	toegepaste wiskunde	24	2
75664860	vetten	24	1
75663139	prostaatkanker	24	3
75611449	keel-, neus- en oorziekten	24	2
75626217	vloeistoffen ; mechanica	24	2
75614766	mathematische statistiek	24	2
75659352	geneesmiddelengebruik	24	1
75603829	depressiviteit	24	1
07564861x	huisartsgeneeskunde	24	2
75660199	kankeronderzoek	24	2
75609010	hersenfysiologie	24	2
16078638x	grensvlakchemie	24	2
75617595	optica	23	2
153900660	erfelijke ziekten	23	2
85911453	immuuntherapie	23	2
