ppn	ppn label	occurrences	brinkey depth
075663147	proteïnen	210	1
075658046	celbiologie	169	2
075608774	hart- en vaatziekten	153	2
075652196	moleculaire biologie	118	3
075652021	immunologie	102	1
075658895	enzymen	102	2
15438125x	katalyse	93	2
075660180	kankerbehandeling	89	2
075657163	bacteriën	89	1
07560129x	biochemie	73	2
07566450x	tumoren	73	2
075605902	farmacologie	70	3
075610086	infectieziekten	67	2
075658003	cardiologie	65	3
075658909	genen	65	1
075615193	microbiologie	64	2
075684659	computersimulatie	64	2
075664062	stofwisseling	61	1
07561474x	materialenkennis	60	1
075604248	dna	60	3
075611791	kindergeneeskunde	55	2
07561653x	nier(ziekten)	54	1
075618761	plantenfysiologie	52	2
075640945	voedingsmiddelentechnologie	52	2
07560938x	hormonen	52	1
18993588x	biomaterialen	51	3
075613832	lever(ziekten)	50	3
075663589	schimmels	50	3
194206963	nanotechnologie	50	2
075616513	neurologie	49	2
153901284	erfelijkheidsleer	49	2
242597815	polymeren	48	1
075677350	diagnostiek	48	2
075654016	biotechnologie	47	2
075648598	gastro-enterologie	46	2
075600099	bacteriologie	45	1
075663864	spectroscopie	44	2
07560289x	chirurgie	44	2
075618788	plantenziekten	44	1
075664909	virussen	44	2
075617668	organische chemie	43	2
075661705	neurofysiologie	43	2
075599740	astma	41	4
075623412	diabetes	41	3
246139412	plantengenetica	41	3
075620030	radiotherapie	40	2
075614936	melkwegstelsels	39	2
267797737	copd	39	3
075598876	algoritmen	38	2
075685752	ecosystemen	37	1
075660938	logistiek	37	1
075605384	epidemiologie	37	2
075658488	darmkanker	36	3
267179693	hartfalen	36	3
102367418	magnetische resonantie	36	5
075601486	bloedvatenstelsel	35	4
096947381	patroonherkenning	35	2
07567761x	moleculaire natuurkunde	35	2
126297290	differentiaalvergelijkingen	34	2
075659670	halfgeleiders	34	2
075662981	polymerisatie	34	2
189868236	membranen	34	3
075611198	kanker	34	2
075614545	management	34	1
075657708	bloed	34	2
075664119	stromingsleer	33	3
075613786	leukemie	33	3
075617757	orthopedie	33	1
075651386	neonatologie	33	3
097310328	sedimentologie	33	3
075602792	chemische technologie	32	2
075607220	geneesmiddelen	32	2
075626985	waterzuivering	31	1
075688395	waterbeheer	31	3
075661209	geneesmiddelen ; bijwerkingen	31	3
075657775	borstkanker	31	3
182795667	farmacotherapie	31	2
075637162	endocrinologie	30	1
075676257	plantenveredeling	30	6
