itemNumber	string	score
1	nederland	887
2	proefschriften (vorm)	783
3	netherlands	603
4	modellen	278
5	models	270
6	solanum tuberosum	255
7	epidemiology	250
8	children	234
9	plantenfysiologie	231
10	genetics	230
11	plant breeding	223
12	plant physiology	222
13	solanum lycopersicum	209
14	gene expression	204
15	plant pathogenic fungi	203
16	kenya	201
17	growth	198
18	sustainability	196
19	agriculture	196
20	proteins	187
21	simulatiemodellen	186
22	immunology	184
23	remote sensing	183
24	metabolism	181
25	china	180
26	simulation models	178
27	potatoes	176
28	cardiologie	175
29	pigs	174
30	eiwitten	174
31	plantenveredeling	174
32	cardiology	173
33	genexpressie	172
34	plants	172
35	cattle	167
36	plant development	163
37	duurzaamheid (sustainability)	162
38	plantenontwikkeling	158
39	disease resistance	157
40	aardappelen	157
41	neurologie	156
42	groei	156
43	ziekteresistentie	154
44	plantenziekteverwekkende schimmels	154
45	soil	147
46	management	146
47	stress	144
48	thorax	144
49	rural development	143
50	geneeskunde(genk)	142
51	land use	141
52	farm management	140
53	rundvee	138
54	water	137
55	governance	136
56	landbouw	134
57	plant pests	133
58	waste water treatment	132
59	forestry	129
60	cancer	128
61	plant diseases	128
62	genes	127
63	agrarische bedrijfsvoering	127
64	genomics	125
65	research	124
66	planten	124
67	vlag	124
68	plattelandsontwikkeling	123
69	onderzoek	123
70	tomatoes	122
71	nutrients	121
72	plant breeding and genetics (general)	121
73	plantenveredeling en -genetica (algemeen)	121
74	development	120
75	indonesia	119
76	farmers	119
77	nitrogen	119
78	bescherming en bevordering van de menselijke gezondheid	119
79	medical sciences	118
80	decision making	116
81	genetic variation	116
82	human nutrition and health	116
83	humane voeding en gezondheid	116
84	ecology	115
85	bedrijfsvoering	115
86	genetische variatie	115
87	farming systems	115
88	monitoring	114
89	metabolisme	114
90	voedingsstoffen	114
91	plant viruses	114
92	inflammation	113
93	simulation	113
94	simulatie	113
95	plantenplagen	113
96	plantenvirussen	113
97	marketing	112
98	infectious diseases	112
99	history	111
100	landgebruik	111
101	poultry	110
102	genen	110
103	boeren	110
104	bodem	109
105	atherosclerosis	108
106	gastro-enterologie	108
107	tomaten	108
108	pregnancy	106
109	quality of life	106
110	neurology	106
111	organic chemistry	106
112	soil chemistry	106
113	stikstof	106
114	biochemistry	105
115	hydrology	105
116	climatic change	105
117	environment	104
118	genetica	104
119	cardiovascular diseases	104
120	feeds	104
121	wass	104
122	ethiopia	103
123	vegetation	103
124	microbiology (general)	103
125	microbiologie (algemeen)	103
126	urologie	102
127	oryza sativa	102
128	ecologie	101
129	epidemiologie	100
130	aves	100
131	plant protection	100
132	modeling	99
133	heritability	99
134	water management	99
135	dna	99
136	moleculaire genetica	99
137	organische chemie	99
138	proteins and enzymes	99
139	eiwitten en enzymen	99
140	enzymen	98
141	vietnam	98
142	vegetatie	98
143	irrigation	98
144	methodology	97
145	virology	97
146	pisces	97
147	soil biology	97
148	bedrijfssystemen	97
149	pluimvee	97
150	membranen	96
151	varkens	96
152	bodembiologie	95
153	animal nutrition	95
154	molecular genetics	94
155	innovations	94
156	mexico	94
157	biochemie	94
158	bodemchemie	94
159	public health	93
160	screening	93
161	rice	93
162	besluitvorming	93
163	ethiopië	93
164	benin	93
165	biological control	93
166	plantenziekten	93
167	resistance breeding	93
168	resistentieveredeling	93
169	animal behaviour	93
170	microbiologie	92
171	rhizobium	92
172	zea mays	92
173	environmental policy	91
174	women	91
175	surgery	90
176	elderly	90
177	overheidsbeleid	90
178	government policy	90
179	obesity	89
180	gynaecologie en obstetrie	89
181	pe&rc	89
182	planning	88
183	evolution	88
184	diergedrag	88
185	photosynthesis	88
186	dairy farming	88
187	diervoeding	88
188	india	87
189	methodologie	87
190	arabidopsis thaliana	87
191	innovaties	87
192	triticum aestivum	87
193	insects	87
194	synthesis	86
195	afvalwaterbehandeling	86
196	voer	86
197	hydrologie	85
198	plant ecology	85
199	klimaatverandering	85
200	treatment	84
201	pharmacology	84
202	farmacologie (geneeskunde)	84
203	trees	84
204	participation	83
205	indonesië	83
206	plantenecologie	83
207	colloid and surface chemistry	83
208	kolloïd- en oppervlaktechemie	83
209	molecular biology	82
210	geschiedenis	82
211	insect pests	82
212	gewasbescherming	82
213	kinderen	81
214	biologische bestrijding	81
215	modelleren	81
216	performance	80
217	computer simulation	80
218	enzymes	80
219	genomica	80
220	arabidopsis	80
221	health care	79
222	africa	79
223	tandheelkunde	79
224	wiskundige modellen	79
225	moleculaire biologie	79
226	java	79
227	landscape	79
228	botany	79
229	thermodynamics	79
230	fermentation	79
231	hematologie	78
232	waterbeheer	78
233	milieubeleid	78
234	genetic engineering	78
235	adsorption	78
236	animal breeding	78
237	soil physics	78
238	wimek	78
239	nutrition	77
240	sociology	77
241	vrouwen	77
242	thermodynamica	77
243	nature conservation	77
244	mathematical models	77
245	grasslands	77
246	water management (general)	77
247	waterbeheer (algemeen)	77
248	nematoda	77
249	europe	76
250	urology	76
251	uganda	76
252	ghana	76
253	tanzania	76
254	pest resistance	76
255	genetics (general)	76
256	genetica (algemeen)	76
257	forests	76
258	soil fertility	76
259	health	75
260	risk factors	75
261	in vitro	75
262	plaagresistentie	75
263	bomen	75
264	magnetic resonance imaging	74
265	morphology	74
266	dairy cattle	74
267	insectenplagen	74
268	bodemfysica	74
269	gender	73
270	genetische modificatie	73
271	rijst	72
272	milieu	71
273	deuteromycotina	71
274	food microbiology	71
275	biomarkers	70
276	participatie	70
277	genomes	70
278	eps	70
279	food	70
280	melkveehouderij	70
281	habitats	70
282	environmental impact	69
283	mice	69
284	geographical information systems	69
285	natural resources	69
286	foods	69
287	afrika	69
288	agroforestry	69
289	biodiversity	69
290	biobased economy	69
291	economics	68
292	taxonomy	68
293	recombinant dna	68
294	crops	68
295	immunologie	68
296	algae	68
297	fotosynthese	68
298	insecten	68
299	genomen	68
300	host parasite relationships	68
301	gastheer parasiet relaties	68
302	levensmiddelenmicrobiologie	68
303	psychiatrie, psychopathologie	67
304	fermentatie	67
305	synthese	67
306	forest ecology	67
307	phytophthora infestans	67
308	milieueffect	67
309	nutrition physiology	67
310	voedingsfysiologie	67
311	computersimulatie	67
312	mri	66
313	air pollution	66
314	natuurbescherming	66
315	physical planning	66
316	wheat	66
317	defence mechanisms	66
318	verdedigingsmechanismen	66
319	rat	65
320	microorganisms	65
321	zimbabwe	65
322	bacteria	65
323	industrial microbiology	65
324	meteorology (general)	65
325	meteorologie (algemeen)	65
326	bosecologie	65
327	genetic analysis	65
328	chemistry of food components	65
