itemNumber	string	score
1	proefschriften (vorm)	783
2	nederland	354
3	children	183
4	cardiologie	175
5	cardiology	173
6	neurologie	148
7	thorax	144
8	geneeskunde(genk)	142
9	epidemiology	132
10	bescherming en bevordering van de menselijke gezondheid	119
11	medical sciences	118
12	gastro-enterologie	108
13	immunology	105
14	urologie	102
15	neurology	95
16	genetics	90
17	infectious diseases	90
18	gynaecologie en obstetrie	89
19	farmacologie (geneeskunde)	84
20	cancer	82
21	tandheelkunde	79
22	hematologie	78
23	urology	76
24	screening	74
25	surgery	71
26	pharmacology	69
27	psychiatrie, psychopathologie	67
28	pregnancy	65
29	quality of life	65
30	health care	65
31	rat	63
32	endocrinologie (geneeskunde)	63
33	gastroenterology	62
34	aves	61
35	cardiovascular diseases	60
36	treatment	58
37	virology	58
38	bacteriologie (biologie)	58
39	reumatologie, orthopedie	58
40	inflammation	56
41	kinderen	56
42	eiwitten	56
43	hematology	55
44	geschiedenis van europa	55
45	netherlands	54
46	metabolism	53
47	magnetic resonance imaging	52
48	macromoleculaire chemie	50
49	prostate cancer	49
50	radiologie	49
51	neoplasmata, gezwellen	48
52	enzymen, hormonen, vitaminen (biochemie)	47
53	membranen	47
54	stofwisseling	45
55	microbiologie	45
56	medische fysica	45
57	geneeskunde (genk)	45
58	proteins	44
59	endocrinology	44
60	oncology	44
61	receptoren	43
62	leukemia	42
63	enzymen	42
64	supramoleculaire chemie	41
65	marketing	40
66	kindergeneeskunde	40
67	overig maatschappelijk onderzoek	40
68	risk factors	39
69	stress	39
70	dna	39
71	immunologie (geneeskunde)	39
72	katalyse	39
73	psychopathologie	38
74	farmacie(farm)	38
75	imaging	37
76	stem cells	37
77	grenslagen en dunne lagen	37
78	culturele activiteiten	37
79	atherosclerosis	36
80	innovation	36
81	keel-, neus- en oorheelkunde	36
82	literary theory, analysis and criticism	36
83	biomedische technologie en medicijnen	36
84	prognosis	35
85	diagnosis	35
86	public health	35
87	coronary diseases	35
88	reumatologie	35
89	psychiatrie	35
90	orthopedie	34
91	1900-1950	34
92	medische psychologie	34
93	ultrasound	33
94	monitoring	33
95	diabetes mellitus	33
96	liver diseases	33
97	cytologie, celbiologie en celfysiologie	33
98	plantenfysiologie	33
99	tumoren	33
100	obesity	32
101	pediatrics	32
102	asthma	32
103	mice	32
104	gynaecology	32
105	medische genetica	32
106	risico's	32
107	liver	31
108	radiotherapy	31
109	elderly	31
110	stereoselectiviteit	31
111	biologische markers	31
112	positronemissietomografie	31
113	dunne films	31
114	dementia	30
115	hypertension	30
116	rheumatology	30
117	gene expression	30
118	polymeren	30
119	chirurgie (geneeskunde)	30
120	echocardiography	29
121	cytokines	29
122	44.85	29
123	medische microbiologie	29
124	elektronenstructuur en elektrische eigenschappen van oppervl	29
125	prevention	28
126	mariene biologie	28
127	transporteiwitten	28
128	transplantation	27
129	human	27
130	mortality	27
131	general practice	27
132	lung diseases	27
133	huisartsgeneeskunde	27
134	vitaminen (biochemie)	27
135	hormonen	27
136	insecta	27
137	geneesmiddelen	27
138	mycologie	27
139	transplantatie	27
140	aanleg	27
141	biomarkers	26
142	pharmacokinetics	26
143	the netherlands	26
144	cholesterol	26
145	kristalstructuur	26
146	breast cancer	25
147	china	25
148	mri	25
149	depression	25
150	mouse	25
151	kanker	25
152	biofilms	25
153	astma	25
154	hartzwakte	25
155	growth	24
156	cost-effectiveness	24
157	hiv	24
158	hematopoiesis	24
159	vascular diseases	24
160	vaccination	24
161	tumors	24
162	duitsland	24
163	1850-1900	24
164	oppervlakken	24
165	learning	23
166	cardiovascular disease	23
167	heart failure	23
168	zwangerschap	23
169	performance	23
170	receptors	23
171	diabetes mellitus type 2	23
172	dierfysiologie	23
173	dermatologie (geneeskunde)	23
174	biomaterialen	23
175	depressies (psychiatrie)	23
176	fysische organische chemie	23
177	modellen (theorie)	23
178	ethologie	23
179	stroke	22
180	health	22
181	sustainable development	22
182	osteoarthritis	22
183	development	22
184	cortisol	22
185	gezondheidszorg	22
186	signal transduction	22
187	chiraliteit	22
188	regelmechanismen	22
189	sociale interactie en relaties	22
190	dynamica	22
191	kunstmatige intelligentie	22
192	1950-2000	22
193	myocardial infarction	21
194	aging	21
195	therapy	21
196	childhood	21
197	lung cancer	21
198	escherichia coli	21
199	gender	21
200	immune system	21
201	women	21
202	sterrenstelsels	21
203	farmacie, farmaceutica	21
204	algae	21
205	psychometrie	21
206	hart- en vaatziekten	21
207	genexpressie	21
208	heart diseases	20
209	pain	20
210	dna repair	20
211	pathology	20
212	decision making	20
213	orthopedics	20
214	glucose	20
215	onderwijs	20
216	celbiologie en celfysiologie	20
217	farmacotherapie	20
218	mathematische statistiek	20
219	resistentie	20
220	simulatie	20
221	schizofrenie	20
222	voortplanting (biologie)	20
223	uncertainty	19
224	sustainability	19
225	psychology	19
226	radiology	19
227	pathogenesis	19
228	immunotherapy	19
229	osteoporosis	19
230	tumor necrosis factor	19
231	dna-onderzoek	19
232	infectieziekten, parasitaire ziekten	19
233	cytologie	19
234	prothesen	19
235	lactococcus lactis	19
236	fotochemie	19
237	sterren(stelsels): overige	19
238	celdood	19
239	lever	19
240	elektrische geleiding	19
241	umcg approved	19
242	psychofysiologie	19
243	1900-2000	19
244	extragalactische stelsels	19
245	fluorescentie	19
246	synthese (chemie)	19
247	bijwerkingen	19
248	outcome	18
249	child	18
250	colorectal cancer	18
251	macrophages	18
252	management	18
253	survival	18
254	vennootschapsrecht	18
255	stents	18
256	staphylococcus aureus	18
257	organ transplantation	18
258	epidemiologie	18
259	ophthalmology	18
260	ouderen	18
261	fenotype	18
262	immunologische ziekten	18
263	peptiden	18
264	eu-landen	18
265	oogheelkunde (geneeskunde)	18
266	44.87	18
267	beeldverwerkende diagnostiek	18
268	kristallografie	18
269	44.90	18
270	biotechnologie	18
271	35.80	18
272	42.33	18
273	aangeboren afwijkingen	18
274	competition	17
275	prediction	17
276	kidney transplantation	17
277	chemotherapy	17
278	niertransplantatie	17
279	thrombosis	17
280	t cells	17
281	spect	17
282	psychiatry	17
283	parasitaire ziekten	17
284	1800-1900	17
285	massaspectrometrie	17
286	waddenzee	17
287	pisces	17
288	productiemanagement	17
289	rechtsvergelijking (vorm)	17
290	nanotechnologie	17
291	kosmologie	17
292	moleculaire genetica	17
293	moleculaire dynamica	17
294	radioastronomie	17
295	growth hormone	16
296	communication	16
297	mass spectrometry	16
298	cognition	16
299	entrepreneurship	16
300	modelling	16
301	drugs	16
302	t-cells	16
303	leadership	16
304	hormones	16
305	etiology	16
306	rats	16
307	obstetrics	16
308	inflammatory diseases	16
309	geestelijke gezondheidszorg	16
310	pathogenese	16
311	liganden	16
312	medische chemie	16
313	beeldverwerking	16
314	plantengeografie, plantenecologie	16
315	35.51	16
316	chronische ziekten	16
317	adhesie	16
318	1750-1800	16
319	elektronenmicroscopie	16
320	groningen (stad)	16
321	social networks	15
322	antibodies	15
323	risk	15
324	modeling	15
325	migration	15
326	nutrition	15
327	anxiety	15
328	networks	15
329	psychopathology	15
330	genes	15
331	intensive care	15
332	adolescents	15
333	overweight	15
334	neoplasmata	15
335	memory	15
336	stenosis	15
337	medical technology	15
338	ontwikkelingseconomie	15
339	hersenen	15
340	dopamine	15
341	abc-eiwitten	15
342	interstellaire materie	15
343	sterevolutie	15
344	bacillus subtilis	15
345	ziekte van parkinson	15
346	symmetrie	15
347	therapie (geneeskunde)	15
348	tweedetaalverwerving	15
349	magnetische eigenschappen	15
350	nanostructuren	15
351	blokcopolymeren	15
352	friesland	15
353	methoden en technieken van de economie	15
354	antibiotica	15
355	renine angiotensine systeem	15
356	oppervlakken, grenslagen en dunne lagen	15
357	toxicologie (geneeskunde)	15
358	governance	14
359	brain	14
360	intervention	14
361	decision-making	14
362	culture	14
363	central nervous system	14
364	diabetes	14
365	nitric oxide	14
366	rehabilitation	14
367	microarray	14
368	hippocampus	14
369	neoplasms	14
370	water	14
371	gezwellen	14
372	drug targeting	14
373	vetzucht	14
374	hypertensie	14
375	hartinfarct	14
376	transcriptiefactoren	14
377	apoptosis	14
378	oppervlakken, grenslagen, dunne lagen	14
379	katalysatoren	14
380	35.74	14
381	oncolytica	14
382	elektronisch transport in gecondenseerde materie	14
383	biodegradatie	14
384	44.38	14
385	signaalstoffen	14
386	leverziekten	14
387	ladingsoverdracht	14
388	arbeidsgeneeskunde, bedrijfsgeneeskunde	14
389	15.70	14
390	cara	14
391	adolescenten	14
392	adaptatie (fysiologie, biologie)	14
393	klinische pathologie	14
394	ziekenhuisstructuur en organisatie van de gezondheidszorg	14
395	rheumatoid arthritis	13
396	meta-analysis	13
397	ageing	13
398	simulation	13
399	education	13
400	low back pain	13
401	strategy	13
402	kidney	13
403	costs	13
404	environment	13
405	regulation	13
406	glucocorticoids	13
407	indonesia	13
408	skin cancer	13
409	multiple sclerosis	13
410	rotterdam	13
411	ultrasonography	13
412	heart transplantation	13
413	migraine	13
414	prognostic factors	13
415	history	13
416	respiratory problems	13
417	microrna	13
418	huisartsen	13
419	pigs	13
420	morphology	13
421	vrouwen	13
422	sportgeneeskunde	13
423	infectieziekten	13
424	mutaties	13
425	stofwisselingsziekten	13
426	sterren(stelsels): algemeen	13
427	44.83	13
428	oxidatie	13
429	ontstekingen (geneeskunde)	13
430	cognitie	13
431	organische verbindingen	13
432	35.11	13
433	computertomografie	13
434	biokatalyse	13
435	nmr	13
436	onderzoek en interpretatie van het oude testament	13
437	nierinsufficiëntie	13
438	auto-immuunziekten	13
439	44.81	13
440	ace-remmers	13
441	nierziekten	13
442	corporate governance	12
443	infection	12
444	ethics	12
445	trust	12
446	infants	12
447	fetus	12
448	polymorphism	12
449	social capital	12
450	transcription	12
451	fatigue	12
452	india	12
453	coping	12
454	europe	12
455	physical activity	12
456	young adults	12
457	chromatin	12
458	pharmacodynamics	12
459	blood cells	12
460	rabbit	12
461	calcium	12
462	power	12
463	dermatology	12
464	embryology	12
465	ovaria	12
466	tumours	12
467	jeugdhulpverlening	12
468	insuline	12
469	radiation	12
470	diagnostics	12
471	pasgeborenen	12
472	netwerken	12
473	reproduction	12
474	nucleïnezuren	12
475	eiwitten, nucleïnezuren	12
476	moleculaire motoren	12
477	39.41	12
478	coördinatieverbindingen	12
479	astrofysica	12
480	metastasen	12
481	botsingen, interacties (atoom- en molecuulfysica)	12
482	mollusca	12
483	interactie	12
484	secretie	12
485	chemotherapie	12
486	fibrose	12
487	bestralingstherapie	12
488	biosynthese	12
489	kwaliteit van het bestaan	12
490	1980-1990	12
491	algoritmen	12
492	pathologische fysiologie	12
493	polymorfisme	12
494	emoties	12
495	antibiotics	11
496	renal failure	11
497	vaccine	11
498	segmentation	11
499	liver transplantation	11
500	congenital heart disease	11
501	planning	11
502	optimization	11
503	diet	11
504	autoimmunity	11
505	heart	11
506	germany	11
507	monocytes	11
508	health insurance	11
509	proteomics	11
510	parents	11
511	pharmacotherapy	11
512	personality	11
513	incidence	11
514	climate change	11
515	influenza	11
516	motivation	11
517	infections	11
518	enzymes	11
519	philosophy	11
520	surfactantia	11
521	lymphocytes	11
522	smoking	11
523	exercise	11
524	thymus	11
525	transcription factors	11
526	diagnostiek	11
527	patroonherkenning	11
528	nierfunctie	11
529	management en organisatie: algemeen	11
530	internationale monetaire economie	11
531	preventie	11
532	preventieve geneeskunde	11
533	diagnose	11
534	coating	11
535	evolution	11
536	vragenlijsten	11
537	clinical trials	11
538	personeelsmanagement	11
539	accounting	11
540	35.80 macromoleculaire chemie	11
541	modellen	11
542	moleculaire schakelaars	11
543	organisatiesociologie, organisatiepsychologie	11
544	terrestrische ecologie	11
545	traumatologie	11
546	regeneratie	11
547	spiraalnevels	11
548	organometaalchemie	11
549	borstkanker	11
550	verenigde staten	11
551	longkanker	11
552	stamcellen	11
553	vetten	11
554	protein engineering	11
555	brandstoftechnologie	11
556	moleculaire biologie	11
557	muizen	11
558	gezondheid	11
559	radionucliden	11
560	visualisatie	11
