itemNumber	string	score
1	nederland	531
2	modellen	267
3	plantenfysiologie	198
4	simulatiemodellen	176
5	plantenveredeling	172
6	duurzaamheid (sustainability)	161
7	plantenontwikkeling	157
8	ziekteresistentie	153
9	plantenziekteverwekkende schimmels	153
10	aardappelen	153
11	genexpressie	151
12	groei	151
13	rundvee	135
14	landbouw	131
15	agrarische bedrijfsvoering	123
16	plattelandsontwikkeling	121
17	planten	121
18	onderzoek	120
19	plantenveredeling en -genetica (algemeen)	120
20	eiwitten	118
21	humane voeding en gezondheid	116
22	bedrijfsvoering	114
23	plantenplagen	110
24	metabolisme	110
25	voedingsstoffen	109
26	landgebruik	109
27	plantenvirussen	108
28	bodem	108
29	stikstof	106
30	tomaten	105
31	genen	105
32	genetische variatie	104
33	boeren	103
34	microbiologie (algemeen)	103
35	organische chemie	99
36	eiwitten en enzymen	99
37	genetica	97
38	pluimvee	97
39	kenya	96
40	ecologie	95
41	bedrijfssystemen	95
42	bodemchemie	94
43	bodembiologie	94
44	varkens	94
45	biochemie	93
46	resistentieveredeling	93
47	simulatie	93
48	ethiopië	90
49	plantenziekten	88
50	vegetatie	88
51	solanum tuberosum	87
52	innovaties	86
53	afvalwaterbehandeling	86
54	voer	86
55	diervoeding	86
56	besluitvorming	84
57	hydrologie	84
58	kolloïd- en oppervlaktechemie	83
59	klimaatverandering	83
60	moleculaire genetica	82
61	epidemiologie	82
62	diergedrag	82
63	methodologie	81
64	overheidsbeleid	81
65	plantenecologie	81
66	biologische bestrijding	80
67	modelleren	79
68	gewasbescherming	78
69	remote sensing	77
70	waterbeheer (algemeen)	77
71	genetica (algemeen)	76
72	geschiedenis	76
73	solanum lycopersicum	75
74	waterbeheer	75
75	indonesië	75
76	plaagresistentie	74
77	thermodynamica	74
78	insectenplagen	74
79	bodemfysica	74
80	bomen	74
81	genetische modificatie	73
82	genomica	71
83	melkveehouderij	70
84	wiskundige modellen	70
85	rijst	70
86	china	70
87	milieubeleid	70
88	milieu	69
89	moleculaire biologie	68
90	levensmiddelenmicrobiologie	68
91	genomen	67
92	gastheer parasiet relaties	67
93	computersimulatie	67
94	synthese	66
95	verdedigingsmechanismen	66
96	milieueffect	66
97	voedingsfysiologie	66
98	meteorologie (algemeen)	65
99	bosecologie	65
100	chemie van voedselcomponenten	65
101	insecten	65
102	irrigatie	64
103	afrika	64
104	participatie	64
105	vrouwen	64
106	fermentatie	63
107	voedingsmiddelen	62
108	natuurbescherming	62
109	dierveredeling	62
110	europa	62
111	immunologie	62
112	genetische analyse	62
113	fotosynthese	62
114	moleculaire plantenbiologie	62
115	bodemvruchtbaarheid	62
116	ontwikkeling	61
117	tarwe	60
118	voedingsgedrag	60
119	plantenverdediging en -resistentie	60
120	dierenrassen, selectie en genetica	59
121	industriële microbiologie	59
122	bossen	59
123	aquatische ecologie	59
124	diervoeding en voedering (algemeen)	59
125	adsorptie	58
126	milieutoxicologie, ecotoxicologie	58
127	fysiologie van de diervoeding	58
128	water	57
129	kleine landbouwbedrijven	57
130	voedsel	57
131	governance	57
132	vlag	57
133	enzymen	56
134	evolutie	56
135	natuurlijke hulpbronnen	56
136	kwaliteit	56
137	taxonomie	56
138	plattelandsgemeenschappen	56
139	bodemkunde (algemeen)	56
140	sociologie	56
141	plantaardige producten	55
142	graslanden	55
143	aquacultuur	55
144	landbouwbeleid	55
145	waterkwaliteit	55
146	volksgezondheid	55
147	risicoschatting	55
148	ecosystemen	55
149	maïs	55
150	genetische kartering	54
151	gewassen	54
152	sociale economie	53
153	biodiversiteit	53
154	licht	53
155	waterverontreiniging	53
156	kunstmeststoffen	53
157	ruimtelijke ordening	52
158	afvalverwerking	52
159	micro-organismen	52
160	zaden	52
161	platteland	52
162	gewasproductie	52
163	geografische informatiesystemen	52
164	economie	52
165	plantkunde	52
166	interacties	52
167	voedingstoestand	51
168	beleid	51
169	luchtverontreiniging	51
170	loci voor kwantitatief kenmerk	51
171	opbrengsten	50
172	voedingsstoornissen	49
173	membranen	49
174	ecotoxicologie	49
175	bosbouw	49
176	microbe-plant relaties	49
177	landschap	49
178	wass	49
179	populatiedynamica	48
180	technologie	48
181	biologische bestrijding van plagen	48
182	prestatieniveau	48
183	kunstmeststoffen, bemesting	48
184	biosynthese	48
185	levensmiddelen- en bioproceskunde (algemeen)	48
186	microbiologie	47
187	bodemclassificatie	47
188	genexpressieanalyse	47
189	temperatuur	47
190	visteelt	47
191	nederlands indië	46
192	landevaluatie	46
193	ontwikkelingseconomie	46
194	bodemverontreiniging	45
195	benin	45
196	genetische diversiteit	45
197	samenstelling	45
198	voeding	45
199	heritability	45
200	dierenwelzijn	45
201	gezondheid	45
202	distributie	44
203	fokkerij en genetica (algemeen)	44
204	plantenparasitaire nematoden	44
205	bacteriën	44
206	levensmiddelenfysica	44
207	hulpbronnenbeheer	44
208	ouderen	43
209	vietnam	43
210	dierecologie	43
211	west-afrika	43
212	voortplanting	43
213	anaërobe behandeling	43
214	voedselzekerheid	43
215	ontwikkelingslanden	42
216	selectief fokken	42
217	bosbedrijfsvoering	42
218	oost-afrika	42
219	absorptie	42
220	schimmels	42
221	moleculaire veredeling	42
222	ketenmanagement	42
223	groenten	41
224	transgene planten	41
225	landbouwkundige entomologie	41
226	rivieren	41
227	zuivelproducten	41
228	sierplanten	41
229	spijsvertering	41
230	mexico	41
231	waterzuivering	41
232	plantenvoeding	41
233	rhizobium	40
234	melkvee	40
235	genetische merkers	40
236	pisces	40
237	plantencelbiologie	40
238	wortels	40
239	bodemgeschiktheid	40
240	bescherming	40
241	genoominformatica	40
242	landgebruiksplanning	39
243	kinetica	39
244	ontwerp	39
245	oryza sativa	39
246	zea mays	39
247	diergedrag en ethologie	39
248	huishoudens	39
249	pe&rc	39
250	consumptiepatronen	38
251	planning	38
252	theorie	38
253	monitoring	38
254	toxicologie (algemeen)	38
255	klimaat	38
256	stress	38
257	identificatie	38
258	gekweekte vissen	38
259	brazilië	38
260	voedingswaarde	38
261	emissie	38
262	plantaardige productiesystemen	38
263	voedingsgewoonten	37
264	symbiose	37
265	teeltsystemen	37
266	landbouwproductie	37
267	aquatische ecosystemen	37
268	immuniteit	37
269	oogstverliezen	37
270	bioreactoren	37
271	insect-plant relaties	37
272	agrarische economie (algemeen)	37
273	perceptie	37
274	productie	36
275	triticum aestivum	36
276	toxiciteit	36
277	java	36
278	wimek	36
279	organismen ingezet bij biologische bestrijding	35
280	bloemen	35
281	biologische beschikbaarheid	35
282	celbiologie	35
283	virologie	35
284	milieu-economie	35
285	habitats	35
286	tropen	35
287	milieutechnologie	35
288	geslacht (gender)	35
289	stressreactie	35
290	medische entomologie	35
291	zuivelkunde	35
292	derivaten	35
293	bodemkunde	35
294	milieuafbraak	35
295	natuurbeheer (algemeen)	35
296	bio-energie	35
297	dieet	34
298	industrie	34
299	organische verbindingen	34
300	hart- en vaatziekten	34
301	meting	34
302	atmosfeer	34
303	milieufactoren	34
304	communicatie	34
305	nematoda	34
306	ecologie (algemeen)	34
307	fysiologie	34
308	bodemwater	34
309	dierlijke producten	34
310	(bio)reactorkunde	34
311	dieren	34
312	tanzania	34
313	uganda	34
314	biobased economy	34
315	voedingsfysiologie van de mens	33
316	operationeel onderzoek	33
317	mest	33
318	landbouwhuishoudens	33
319	consumentengedrag	33
320	consumenten	33
321	india	33
322	deuteromycotina	33
323	productiviteit	33
324	ghana	33
325	fysische chemie	33
326	glastuinbouw	33
327	marketing	33
328	gewasopbrengst	33
329	economische analyse	33
330	dierlijke productie	33
331	virulentie	33
332	ziekteoverdracht	33
333	plantengemeenschappen	33
334	vloeistoffen (liquids)	33
335	in vitro	33
336	genkartering	33
337	kooldioxide	33
338	eps	33
339	meren	32
340	hexaploïdie	32
341	oppervlakteverschijnselen	32
342	agro-ecosystemen	32
343	kringlopen	32
344	fysicochemische eigenschappen	32
345	toxische stoffen	32
346	zaadkieming	32
347	recombinant dna	32
348	netwerken	32
349	ziektebestrijding	32
350	pesticiden	32
351	biomassa	32
352	microbiële afbraak	32
353	mutaties	32
354	koolhydraten	32
355	adaptatie	32
356	kaarten	32
357	bodemdegradatie en bodembescherming	32
358	gezondheid en welzijn van dieren	32
359	verbetering	31
360	virussen	31
361	colloïden	31
362	analytische chemie	31
363	mens	31
364	chemische samenstelling	31
365	virussen van ongewervelden	31
366	stedelijke gebieden	31
367	technieken	31
368	diervoedering	31
369	plantenmorfologie	31
370	plantengeografie	31
371	agroforestry	31
372	wiskundige modellen, simulatiemodellen	31
373	opwekkende planten	31
374	economische ontwikkeling	30
375	biotechnologie	30
376	bloei	30
377	diergeneeskunde	30
378	conservering	30
379	voedselproductie	30
380	cartografie	30
381	spectroscopie	30
382	plantenziektekunde	30
383	fotoperiodiciteit	30
384	toxicologie	30
385	markten	30
386	polymeren	30
387	zimbabwe	30
388	genetische bronnen van plantensoorten	30
